Local authority,Opiates,Lower bound  95% CI,Upper bound   95% CI
Derby,11.1,9.32,12.78
Derbyshire,6.63,5.93,7.85
Leicester,9.8,8.79,11.67
Leicestershire,5.46,4.67,6.71
Lincolnshire,7.13,6.45,8.23
Northamptonshire,5.73,3.94,7.58
Nottingham,9.79,7.98,11.63
Nottinghamshire,7.08,5.06,8.84
Rutland,1.57,0.47,3.31
Bedford,9.82,7.89,11.72
Central Bedfordshire,4.75,4.05,6.41
Cambridgeshire,5.16,3.4,6.95
Essex,4.83,2.9,6.64
Hertfordshire,4.56,2.78,6.47
Luton,10.76,8.94,12.54
Norfolk,7.13,6.5,8.44
Peterborough,11.47,9.41,13.33
Southend-on-Sea,7.91,6.1,9.75
Suffolk,5.1,4.51,6.21
Thurrock,4.29,3.29,6.42
Barking and Dagenham,7.49,5.58,9.35
Barnet,4.96,3.12,6.78
Bexley,3.76,1.83,5.54
Brent,7.84,5.83,9.83
Bromley,4.4,3.49,6.76
Camden,9.71,7.77,11.58
City of London,2.89,1.65,4.76
Croydon,6.68,5.46,8.66
Ealing,9,8.05,10.81
Enfield,6.08,4.94,9.14
Greenwich,6.3,4.49,7.99
Hackney,11.19,9.3,13.08
Hammersmith and Fulham,9.19,7.97,12.17
Haringey,8.54,6.56,10.52
Harrow,7.03,4.71,12.72
Havering,4.48,3.4,6.87
Hillingdon,7.54,5.71,9.48
Hounslow,7.94,6.08,9.88
Islington,10.6,8.74,12.55
Kensington and Chelsea,7.16,5.4,8.95
Kingston upon Thames,4.2,2.92,7.5
Lambeth,9.23,7.14,11.27
Lewisham,8.25,6.4,10.05
Merton,4.2,2.36,5.87
Newham,9.17,7.1,11.3
Redbridge,6.05,4.88,9.24
Richmond upon Thames,4.74,3.62,6.88
Southwark,8.56,6.62,10.51
Sutton,4.63,3.74,6.11
Tower Hamlets,11.4,9.56,13.21
Waltham Forest,6.26,4.33,8.25
Wandsworth,4.71,2.88,6.45
Westminster,5.98,4.17,7.81
County Durham,6.7,6.2,7.54
Darlington,10.25,8.37,12.05
Gateshead,12.54,10.64,14.3
Hartlepool,17.33,14.74,25.07
Middlesbrough,21.95,20,24.06
Newcastle upon Tyne,10.6,9.42,13.16
North Tyneside,6.84,5.91,8.72
Northumberland,6.62,5.87,7.93
Redcar and Cleveland,10.34,8.34,12.12
South Tyneside,6.67,6.05,8.17
Stockton-On-Tees,12.81,11.39,16.25
Sunderland,8.32,7.04,11.21
Blackburn with Darwen,12.58,10.65,14.54
Blackpool,20.6,18.39,24.23
Bolton,10.59,8.52,12.47
Bury,6.68,4.88,8.55
Cheshire East,5.56,3.73,7.29
Cheshire West and Chester,7.04,5.41,8.84
Cumbria,7.76,7.04,8.83
Halton,8,6.21,9.77
Knowsley,10.14,8.3,12.07
Lancashire,7.66,5.81,9.54
Liverpool,14.32,12.31,16.27
Manchester,8.9,7.09,10.85
Oldham,7.99,6.1,9.74
Rochdale,10.62,9.26,13.65
Salford,7.78,5.86,9.55
Sefton,10.15,9.22,12.23
St. Helens,10.42,8.6,12.13
Stockport,6.37,4.52,8.25
Tameside,8.71,6.9,10.61
Trafford,4.72,2.87,6.51
Warrington,5.36,4.9,7.29
Wigan,7.97,6.11,9.78
Wirral,13.37,11.59,15.25
Bracknell Forest,3.48,1.73,5.28
Brighton and Hove,8.76,6.93,10.64
Buckinghamshire,4.19,3.53,5.15
East Sussex,5.94,3.96,7.93
Hampshire,3.77,3.4,4.53
Isle of Wight,6.39,4.95,9.55
Kent,4.85,3.03,6.72
Medway,6.77,5.87,8.93
Milton Keynes,5.26,3.52,6.94
Oxfordshire,6.43,4.54,8.28
Portsmouth,7.61,6.69,8.94
Reading,9.8,7.85,11.51
Slough,9.56,7.53,14.66
Southampton,6.94,5.65,10.69
Surrey,3.66,1.86,5.58
West Berkshire,5.1,3.72,7.98
West Sussex,4.19,2.37,6.09
Windsor and Maidenhead,4.74,3.65,7.11
Wokingham,2.99,1.33,4.86
Bath and North East Somerset,7.88,6.09,9.61
Bournemouth,12.92,10.72,16.71
"Bristol, City of",13.08,11.17,15.06
Cornwall and Isles of Scilly,6.05,5.41,7.77
Devon,4.87,4.21,5.71
Dorset,6.21,5.28,7.72
Gloucestershire,6.21,4.32,8.01
North Somerset,9.44,7.78,12.38
Plymouth,12.03,10.62,14.33
Poole,5.42,4.14,7.95
Somerset,6.07,5.32,7.21
South Gloucestershire,4.59,2.78,6.45
Swindon,6.08,5.4,7.19
Torbay,11.27,9.49,14
Wiltshire,3.86,3.15,4.93
Birmingham,11.87,10.05,13.67
Coventry,7.34,6.28,9.61
Dudley,8.18,7.45,9.97
"Herefordshire, County of",5.84,5.1,7.78
Sandwell,8.79,6.88,10.62
Shropshire,5.95,3.91,7.67
Solihull,6.37,5.42,7.98
Staffordshire,5.84,4.04,7.59
Stoke-on-Trent,14.3,12.29,16.04
Telford and Wrekin,8.05,6.2,9.88
Walsall,10.03,9.2,11.82
Warwickshire,5.12,4.43,6.56
Wolverhampton,11.13,9.34,12.96
Worcestershire,5.9,5.36,7.01
Barnsley,10.75,9.42,13.21
Bradford,11.76,9.9,13.62
Calderdale,9.07,7.28,10.91
Doncaster,10.45,9.69,11.67
East Riding of Yorkshire,4.94,2.97,6.71
"Kingston upon Hull, City of",16.31,14.36,18.47
Kirklees,8.15,6.53,9.98
Leeds,8.79,6.87,10.71
North East Lincolnshire,12.73,11.71,15.23
North Lincolnshire,11.04,9.57,13.97
North Yorkshire,4.29,3.54,8.43
Rotherham,10.08,8.11,11.82
Sheffield,8.82,6.75,10.55
Wakefield,11.54,9.83,13.68
York,4.95,4.4,6.54
East of England,5.81,5.24,6.5
East Midlands,7.17,6.72,7.77
London,7.24,7,7.84
North East,9.75,9.49,10.64
North West,8.96,8.54,9.45
South East,5.12,4.68,5.71
South West,7.15,6.81,7.64
West Midlands,8.28,7.81,9.08
Yorkshire and the Humber,9.15,8.7,9.89